Time (s),PT3w (ohms-Hex),PT3s (ohms-Hex)
10929,8315,8288
10934,8314,8287
10939,8315,8288
10944,8315,8288
10949,8315,8288
10954,8315,8288
10959,8315,8288
10964,8315,8288
10969,8315,8289
10974,8315,8288
10979,8315,8289
10984,8315,8288
10989,8315,8288
10994,8315,8287
10999,8314,8289
11004,8315,8289
11010,8315,8288
11015,8315,8289
11020,8315,8288
11025,8315,8289
11030,8315,8287
11035,8315,8289
11040,8315,8289
11045,8315,8289
11050,8315,8288
11055,8314,8288
11060,8315,8289
11065,8314,8289
11070,8315,8288
11075,8315,8287
11080,8314,8288
11085,8314,8288
11090,8316,8288
11095,8315,8287
11101,8315,8288
11106,8314,8288
11111,8315,8289
11116,8315,8289
11121,8315,8288
11126,8315,8288
11131,8314,8289
11136,8315,8287
11141,8315,8288
11146,8316,8289
11151,8315,8287
11156,8315,8288
11161,8314,8289
11166,8314,8288
11171,8315,8288
11176,8315,8288
11181,8315,8288
11186,8315,8289
11192,8315,8287
11197,8315,8289
11202,8315,8289
11207,8315,8288
11212,8315,8287
11217,8314,8288
11222,8314,8287
11227,8315,8289
11232,8315,8288
11237,8314,8288
11242,8315,8288
11247,8314,8288
11252,8315,8288
11257,8314,8288
11262,8315,8288
11267,8315,8289
11272,8315,8288
11278,8315,8289
11283,8315,8289
11288,8315,8289
11293,8315,8288
11298,8314,8288
11303,8315,8289
11308,8315,8289
11313,8315,8289
11318,8314,8289
11323,8315,8289
11328,8315,8289
11333,8315,8288
11338,8316,8289
11343,8314,8289
11348,8315,8289
11353,8315,8289
11358,8315,8287
11363,8315,8288
11369,8315,8289
11374,8315,8289
11379,8315,8289
11384,8315,8288
11389,8314,8289
11394,8315,8288
11399,8315,8289
11404,8315,8289
11409,8315,8289
11414,8315,8290
11419,8315,8287
11424,8315,8288
11429,8315,8289
11434,8315,8289
11439,8315,8287
11444,8314,8288
11449,8314,8289
11454,8315,8288
11460,8315,8288
11465,8315,8289
11470,8315,8287
11475,8315,8288
11480,8315,8288
11485,8314,8289
11490,8315,8288
11495,8315,8288
11500,8315,8288
11505,8314,8289
11510,8315,8289
11515,8314,8290
11520,8315,8288
11525,8315,8288
11530,8315,8288
11535,8315,8289
11540,8315,8288
11545,8315,8288
11551,8314,8288
11556,8315,8288
11561,8315,8288
11566,8315,8288
11571,8314,8288
11576,8315,8289
11581,8315,8288
11586,8315,8289
11591,8315,8289
11596,8315,8289
11601,8315,8289
11606,8315,8289
11611,8315,8288
11616,8315,8289
11621,8317,8288
11626,8315,8287
11631,8314,8288
11636,8315,8288
11642,8315,8289
11647,8315,8288
11652,8315,8288
11657,8316,8289
11662,8315,8289
11667,8315,8288
11672,8315,8290
11677,8316,8289
11682,8315,8289
11687,8315,8288
11692,8315,8288
11697,8314,8288
11702,8315,8288
11707,8314,8289
11712,8314,8289
11717,8315,8289
11722,8315,8289
11727,8315,8288
11733,8315,8289
11738,8315,8288
11743,8315,8288
11748,8315,8289
11753,8315,8289
11758,8315,8288
11763,8315,8288
11768,8315,8289
11773,8315,8289
11778,8315,8290
11783,8315,8288
11788,8316,8288
11793,8315,8288
11798,8315,8288
11803,8315,8288
11808,8314,8289
11813,8315,8289
11818,8315,8289
11824,8315,8289
11829,8316,8287
11834,8315,8289
11839,8315,8290
11844,8314,8289
11849,8315,8288
11854,8315,8289
11859,8316,8289
11864,8316,8289
11869,8315,8288
11874,8316,8288
11879,8315,8288
11884,8314,8289
11889,8315,8288
11894,8314,8289
11899,8315,8288
11904,8316,8289
11909,8315,8288
11915,8315,8288
11920,8316,8290
11925,8315,8289
11930,8314,8288
11935,8314,8287
11940,8315,8288
11945,8315,8289
11950,8316,8288
11955,8314,8289
11960,8314,8287
11965,8315,8288
11970,8315,8289
11975,8316,8289
11980,8316,8289
11985,8315,8289
11990,8315,8289
11995,8315,8289
12000,8315,8289
12006,8316,8289
12011,8315,8288
12016,8316,8289
12021,8315,8288
12026,8315,8288
12031,8315,8288
12036,8317,8287
12041,8315,8289
12046,8315,8289
12051,8316,8289
12056,8315,8290
12061,8315,8289
12066,8315,8289
12071,8315,8288
12076,8315,8289
12081,8315,8289
12086,8316,8289
12092,8316,8289
12097,8316,8289
12102,8315,8288
12107,8315,8289
12112,8316,8289
12117,8316,8289
12122,8316,8289
12127,8316,8288
12132,8316,8289
12137,8316,8289
12142,8316,8289
12147,8315,8289
12152,8315,8288
12157,8315,8288
12162,8315,8288
12167,8315,8288
12172,8315,8290
12178,8315,8288
12183,8315,8289
12188,8315,8288
12193,8315,8289
12198,8315,8289
12203,8315,8289
12208,8315,8289
12213,8315,8289
12218,8315,8289
12223,8315,8288
12228,8315,8289
12233,8315,8289
12238,8315,8289
12243,8315,8288
12248,8315,8289
12253,8315,8290
12258,8315,8290
12263,8315,8288
12269,8316,8288
12274,8315,8288
12279,8315,8288
12284,8315,8289
12289,8315,8289
12294,8316,8289
12299,8316,8289
12304,8315,8289
12309,8315,8290
12314,8315,8289
12319,8315,8289
12324,8315,8289
12329,8316,8288
12334,8315,8288
12339,8315,8288
12344,8315,8290
12349,8315,8289
12354,8315,8290
12360,8316,8289
12365,8315,8288
12370,8316,8290
12375,8315,8290
12380,8316,8288
12385,8316,8289
12390,8315,8289
12395,8316,8288
12400,8315,8288
12405,8315,8289
12410,8315,8290
12415,8315,8289
12420,8316,8289
12425,8315,8289
12430,8315,8290
12435,8315,8288
12440,8316,8290
12445,8315,8288
12451,8315,8289
12456,8315,8289
12461,8316,8289
12466,8315,8288
12471,8315,8289
12476,8316,8289
12481,8315,8289
12486,8316,8288
12491,8315,8288
12496,8316,8289
12501,8316,8289
12506,8315,8289
12511,8316,8288
12516,8315,8288
12521,8316,8289
12526,8316,8289
12531,8315,8289
12536,8315,8288
12542,8316,8289
12547,8316,8289
12552,8315,8287
12557,8316,8289
12562,8316,8289
12567,8316,8289
12572,8316,8289
12577,8315,8290
12582,8316,8289
12587,8315,8289
12592,8315,8288
12597,8315,8288
12602,8314,8289
12607,8316,8288
12612,8316,8288
12617,8316,8288
12622,8315,8289
12627,8315,8289
12633,8316,8288
12638,8316,8290
12643,8317,8289
12648,8315,8289
12653,8316,8289
12658,8315,8288
12663,8315,8288
12668,8316,8289
12673,8316,8289
12678,8315,8289
12683,8316,8289
12688,8315,8290
12693,8315,8289
12698,8315,8289
12703,8315,8289
12708,8315,8290
12713,8315,8289
12718,8316,8290
12724,8316,8290
12729,8314,8289
12734,8316,8288
12739,8315,8289
12744,8315,8289
12749,8315,8289
12754,8315,8288
12759,8316,8289
12764,8316,8289
12769,8315,8289
12774,8316,8289
12779,8315,8289
12784,8315,8289
12789,8315,8289
12794,8315,8289
12799,8316,8288
12804,8316,8290
12809,8315,8289
12815,8316,8289
12820,8315,8289
12825,8315,8290
12830,8316,8290
12835,8315,8290
12840,8315,8290
12845,8316,8288
12850,8314,8290
12855,8316,8288
12860,8315,8289
12865,8316,8289
12870,8316,8288
12875,8315,8289
12880,8315,8290
12885,8316,8288
12890,8315,8289
12895,8315,8289
12901,8315,8289
12906,8316,8289
12911,8316,8289
12916,8316,8289
12921,8316,8289
12926,8315,8289
12931,8316,8288
12936,8315,8289
12941,8315,8288
12946,8315,8289
12951,8316,8288
12956,8315,8290
12961,8315,8289
12966,8316,8288
12971,8315,8288
12976,8316,8288
12981,8316,8288
12986,8316,8289
12992,8316,8289
12997,8316,8290
13002,8315,8289
13007,8315,8290
13012,8315,8289
13017,8316,8291
13022,8316,8290
13027,8315,8290
13032,8315,8289
13037,8315,8289
13042,8315,8288
13047,8315,8289
13052,8316,8290
13057,8315,8288
13062,8315,8289
13067,8315,8290
13073,8315,8288
13078,8316,8289
13083,8315,8289
13088,8316,8289
13093,8315,8289
13098,8315,8290
13103,8316,8289
13108,8316,8289
13113,8315,8290
13118,8316,8289
13123,8315,8290
13128,8315,8289
13133,8316,8289
13138,8315,8289
13143,8315,8289
13148,8315,8289
13153,8316,8288
13158,8315,8289
13164,8316,8290
13169,8316,8289
13174,8316,8289
13179,8315,8290
13184,8316,8288
13189,8315,8288
13194,8315,8289
13199,8315,8289
13204,8316,8290
13209,8316,8289
13214,8315,8290
13219,8316,8289
13224,8315,8290
13229,8315,8290
13234,8315,8289
13239,8316,8290
13244,8315,8289
13249,8316,8289
13255,8315,8289
13260,8315,8289
13265,8315,8290
13270,8315,8289
13275,8315,8290
13280,8316,8289
13285,8315,8289
13290,8315,8287
13295,8315,8288
13300,8316,8289
13305,8315,8289
13310,8315,8289
13315,8315,8289
13320,8316,8289
13325,8315,8289
13330,8315,8289
13335,8316,8289
13340,8315,8289
13346,8315,8289
13351,8316,8289
13356,8315,8290
13361,8316,8289
13366,8315,8289
13371,8316,8288
13376,8314,8288
13381,8316,8290
13386,8316,8289
13391,8315,8289
13396,8317,8290
13401,8315,8289
13406,8315,8289
13411,8316,8289
13416,8314,8289
13421,8316,8289
13426,8315,8289
13431,8315,8289
13437,8315,8289
13442,8316,8289
13447,8315,8289
13452,8315,8290
13457,8315,8289
13462,8316,8290
13467,8315,8289
13472,8315,8290
13477,8315,8289
13482,8315,8288
13487,8315,8289
13492,8316,8289
13497,8315,8290
13502,8314,8289
13507,8315,8290
13512,8315,8290
13517,8316,8290
13522,8315,8289
13528,8315,8289
13533,8316,8289
13538,8316,8288
13543,8315,8291
13548,8315,8290
13553,8316,8289
13558,8316,8290
13563,8315,8290
13568,8315,8289
13573,8316,8289
13578,8314,8290
13583,8315,8289
13588,8315,8288
13593,8315,8289
13598,8314,8290
13603,8315,8290
13608,8314,8290
13613,8316,8289
13619,8315,8289
13624,8316,8290
13629,8315,8288
13634,8316,8287
13639,8315,8290
13644,8315,8289
13649,8315,8290
13654,8315,8290
13659,8315,8289
13664,8315,8289
13669,8316,8289
13674,8315,8289
13679,8315,8290
13684,8315,8289
13689,8316,8290
13694,8315,8290
13699,8316,8289
13705,8317,8289
13710,8315,8289
13715,8316,8291
13720,8315,8290
13725,8316,8289
13730,8316,8289
13735,8315,8289
13740,8316,8290
13745,8315,8289
13750,8316,8289
13755,8315,8288
13760,8316,8289
13765,8316,8290
13770,8315,8289
13775,8315,8289
13780,8316,8290
13785,8315,8288
13790,8315,8288
13796,8315,8289
13801,8315,8290
13806,8316,8290
13811,8315,8290
13816,8316,8291
13821,8316,8288
13826,8315,8289
13831,8316,8290
13836,8316,8290
13841,8316,8289
13846,8315,8288
