Time (s),PT1w (ohms-Hex),PT1s (ohms-Hex)
3330,8371,8362
3335,8372,8362
3340,8372,8362
3345,8372,8362
3350,8372,8363
3355,8372,8363
3360,8373,8363
3365,8372,8363
3370,8372,8363
3375,8372,8363
3380,8372,8363
3386,8372,8363
3391,8372,8363
3396,8372,8363
3401,8372,8364
3406,8372,8364
3411,8372,8364
3416,8372,8364
3421,8373,8364
3426,8373,8364
3431,8373,8364
3436,8373,8364
3441,8373,8364
3446,8373,8364
3451,8372,8364
3456,8372,8364
3461,8373,8364
3466,8373,8364
3471,8373,8364
3476,8373,8365
3482,8373,8365
3487,8373,8365
3492,8374,8366
3497,8373,8364
3502,8373,8366
3507,8374,8365
3512,8373,8365
3517,8373,8366
3522,8374,8365
3527,8374,8366
3532,8374,8366
3537,8375,8365
3542,8374,8366
3547,8374,8366
3552,8374,8366
3557,8374,8366
3562,8374,8366
3567,8374,8366
3572,8374,8367
3577,8374,8367
3583,8374,8366
3588,8375,8366
3593,8375,8367
3598,8374,8367
3603,8374,8367
3608,8375,8367
3613,8375,8367
3618,8374,8367
3623,8375,8367
3628,8375,8367
3633,8375,8367
3638,8374,8367
3643,8375,8368
3648,8375,8367
3653,8375,8367
3658,8375,8368
3663,8375,8368
3668,8375,8367
3673,8375,8368
3679,8375,8368
3684,8375,8368
3689,8375,8368
3694,8375,8369
3699,8376,8369
3704,8376,8369
3709,8376,8368
3714,8376,8369
3719,8376,8368
3724,8375,8368
3729,8376,8369
3734,8376,8369
3739,8376,8369
3744,8375,8369
3749,8376,8369
3754,8376,8370
3759,8376,8369
3764,8376,8369
3769,8376,8370
3775,8376,8369
3780,8376,8369
3785,8376,8370
3790,8376,8370
3795,8376,8370
3800,8377,8369
3805,8376,8370
3810,8376,8370
3815,8376,8370
3820,8377,8370
3825,8376,8370
3830,8376,8370
3835,8377,8371
3840,8377,8370
3845,8376,8370
3850,8377,8370
3855,8377,8370
3860,8377,8371
3865,8376,8371
3871,8377,8371
3876,8378,8370
3881,8377,8370
3886,8377,8371
3891,8377,8371
3896,8377,8371
3901,8377,8371
3906,8377,8371
3911,8377,8371
3916,8378,8371
3921,8378,8371
3926,8377,8371
3931,8377,8372
3936,8377,8371
3941,8378,8372
3946,8378,8372
3951,8377,8372
3956,8378,8372
3961,8378,8372
3967,8378,8373
3972,8378,8372
3977,8378,8373
3982,8378,8373
3987,8378,8372
3992,8378,8373
3997,8378,8372
4002,8378,8373
4007,8378,8373
4012,8378,8372
4017,8378,8372
4022,8379,8373
4027,8378,8373
4032,8378,8373
4037,8378,8372
4042,8379,8373
4047,8378,8373
4052,8378,8373
4057,8379,8373
4063,8379,8373
4068,8379,8374
4073,8379,8373
4078,8379,8374
4083,8379,8373
4088,8379,8374
4093,8379,8374
4098,8379,8374
4103,8379,8373
4108,8379,8374
4113,8379,8374
4118,8379,8374
4123,8379,8374
4128,8379,8374
4133,8380,8374
4138,8379,8375
4143,8379,8374
4148,8379,8374
4154,8380,8374
4159,8379,8375
4164,8380,8374
4169,8379,8374
4174,8380,8374
4179,8379,8375
4184,8380,8375
4189,8379,8375
4194,8380,8375
4199,8379,8375
4204,8380,8376
4209,8379,8375
4214,8380,8375
4219,8380,8376
4224,8379,8375
4229,8381,8376
4234,8379,8375
4239,8380,8375
4244,8380,8375
4250,8380,8375
4255,8380,8376
4260,8380,8376
4265,8380,8376
4270,8381,8376
4275,8381,8376
4280,8380,8376
4285,8380,8376
4290,8380,8376
4295,8380,8376
4300,8381,8377
4305,8381,8376
4310,8380,8377
4315,8381,8376
4320,8381,8377
4325,8381,8377
4330,8380,8378
4335,8381,8376
4340,8381,8377
4346,8381,8377
4351,8381,8376
4356,8381,8377
4361,8381,8377
4366,8381,8377
4371,8380,8378
4376,8381,8376
4381,8381,8378
4386,8381,8377
4391,8381,8378
4396,8381,8378
4401,8381,8378
4406,8382,8378
4411,8381,8378
4416,8381,8378
4421,8381,8378
4426,8382,8378
4431,8381,8378
4436,8381,8379
4442,8381,8378
4447,8381,8378
4452,8382,8378
4457,8381,8378
4462,8381,8379
4467,8381,8378
4472,8382,8378
4477,8382,8378
4482,8382,8378
4487,8381,8379
4492,8382,8379
4497,8382,8378
4502,8382,8378
4507,8382,8378
4512,8382,8378
4517,8381,8379
4522,8382,8379
4527,8382,8379
4532,8381,8379
4538,8382,8379
