Time (s),PT4w_cal (deg.C),PT4s_cal (deg.C)
4353,25.032,22.725
4358,25.032,22.758
4363,25.065,22.725
4368,25.032,22.758
4373,24.998,22.725
4378,25.065,22.758
4383,25.065,22.725
4388,25.065,22.725
4393,25.065,22.691
4399,25.065,22.725
4404,25.032,22.758
4409,25.032,22.758
4414,25.065,22.758
4419,25.032,22.758
4424,25.032,22.758
4429,25.065,22.725
4434,25.065,22.792
4439,25.065,22.691
4444,25.065,22.725
4449,25.032,22.758
4454,25.065,22.758
4459,25.099,22.758
4464,25.065,22.792
4469,25.065,22.758
4474,25.065,22.792
4479,25.065,22.758
4485,25.065,22.758
4490,25.065,22.758
4495,25.032,22.792
4500,25.065,22.725
4505,25.065,22.792
4510,25.099,22.758
4515,25.099,22.725
4520,25.099,22.691
4525,25.065,22.758
4530,25.065,22.792
4535,25.065,22.792
4540,25.065,22.758
4545,25.065,22.758
4550,25.065,22.826
4555,25.032,22.792
4560,25.065,22.792
4565,25.065,22.826
4570,25.099,22.792
4576,25.065,22.758
4581,25.065,22.792
4586,25.099,22.826
4591,25.065,22.826
4596,25.065,22.758
4601,25.099,22.758
4606,25.065,22.826
4611,25.065,22.826
4616,25.065,22.792
4621,25.099,22.826
4626,25.065,22.826
4631,25.099,22.792
4636,25.099,22.792
4641,25.099,22.792
4646,25.099,22.826
4651,25.099,22.792
4656,25.099,22.826
4661,25.065,22.792
4667,25.065,22.792
4672,25.065,22.758
4677,25.065,22.86
4682,25.099,22.826
4687,25.099,22.826
4692,25.099,22.826
4697,25.099,22.826
4702,25.099,22.792
4707,25.099,22.86
4712,25.099,22.86
4717,25.065,22.86
4722,25.065,22.826
4727,25.099,22.826
4732,25.065,22.86
4737,25.099,22.826
4742,25.099,22.826
4747,25.099,22.826
4752,25.065,22.826
4758,25.099,22.826
4763,25.065,22.826
4768,25.065,22.826
4773,25.099,22.826
4778,25.099,22.86
4783,25.099,22.826
4788,25.065,22.792
4793,25.065,22.86
4798,25.065,22.894
4803,25.099,22.927
4808,25.099,22.792
4813,25.099,22.86
4818,25.133,22.927
4823,25.099,22.86
4828,25.099,22.826
4833,25.065,22.86
4838,25.099,22.86
4844,25.099,22.894
4849,25.099,22.826
4854,25.065,22.86
4859,25.099,22.86
4864,25.133,22.86
4869,25.065,22.894
4874,25.133,22.86
4879,25.099,22.86
4884,25.099,22.86
4889,25.133,22.894
4894,25.065,22.894
4899,25.133,22.894
4904,25.065,22.86
4909,25.099,22.86
4914,25.099,22.894
4919,25.099,22.894
4924,25.099,22.86
4929,25.065,22.894
4935,25.065,22.894
4940,25.133,22.927
4945,25.133,22.927
4950,25.133,22.894
4955,25.099,22.927
4960,25.099,22.894
4965,25.099,22.927
4970,25.133,22.894
4975,25.099,22.927
4980,25.099,22.894
4985,25.099,22.894
4990,25.099,22.894
4995,25.099,22.927
5000,25.099,22.86
5005,25.099,22.927
5010,25.133,22.927
5015,25.065,22.894
5021,25.133,22.894
5026,25.099,22.894
5031,25.099,22.961
5036,25.099,22.995
5041,25.099,22.894
5046,25.133,22.927
5051,25.099,22.894
5056,25.099,22.927
5061,25.099,22.927
5066,25.099,22.961
5071,25.133,22.961
5076,25.133,22.961
5081,25.133,22.995
5086,25.133,22.927
5091,25.099,22.894
5096,25.065,22.961
5101,25.099,22.927
5106,25.133,22.927
5112,25.099,22.961
5117,25.099,22.927
5122,25.133,22.927
5127,25.099,22.927
5132,25.133,22.961
5137,25.133,22.927
5142,25.133,22.961
5147,25.099,22.995
5152,25.099,22.961
5157,25.099,22.961
5162,25.133,22.961
5167,25.099,22.961
5172,25.099,22.995
5177,25.099,23.029
5182,25.099,22.995
5187,25.065,22.961
5192,25.099,22.927
5197,25.133,23.063
5203,25.065,22.961
5208,25.133,22.961
5213,25.099,22.995
5218,25.133,22.995
5223,25.133,22.995
5228,25.133,22.961
5233,25.099,22.927
5238,25.099,22.995
5243,25.133,22.961
5248,25.133,22.995
5253,25.133,22.995
5258,25.133,22.995
5263,25.099,22.961
5268,25.133,22.995
5273,25.133,22.961
5278,25.133,22.995
5283,25.133,22.995
5288,25.099,22.961
5294,25.099,22.995
5299,25.133,22.995
5304,25.133,22.961
5309,25.133,23.029
5314,25.099,22.927
5319,25.133,22.995
5324,25.099,22.995
5329,25.133,22.995
5334,25.133,22.961
5339,25.167,22.961
5344,25.099,23.029
5349,25.133,22.995
5354,25.133,22.961
5359,25.133,23.029
5364,25.133,23.029
5369,25.099,23.029
5374,25.133,23.063
5380,25.099,23.029
5385,25.133,23.063
5390,25.167,23.029
5395,25.099,22.961
5400,25.133,22.995
5405,25.133,22.961
5410,25.099,23.029
5415,25.133,22.995
5420,25.133,22.961
5425,25.133,23.029
5430,25.133,23.063
5435,25.133,22.995
5440,25.167,23.029
5445,25.133,22.961
5450,25.167,22.995
5455,25.133,23.029
5460,25.167,23.063
5465,25.167,23.063
5471,25.133,23.029
5476,25.167,23.029
5481,25.099,23.096
5486,25.133,23.096
5491,25.133,23.063
5496,25.099,23.029
5501,25.099,23.029
5506,25.167,23.13
5511,25.133,23.029
5516,25.167,23.029
5521,25.167,23.096
5526,25.133,23.063
5531,25.167,22.995
5536,25.133,23.063
5541,25.133,23.063
5546,25.133,23.096
5551,25.167,23.029
5556,25.167,23.063
5562,25.167,23.063
5567,25.167,23.063
5572,25.167,23.096
5577,25.167,23.029
5582,25.133,23.096
5587,25.167,23.063
5592,25.167,23.029
5597,25.167,23.063
5602,25.167,23.096
5607,25.167,23.063
5612,25.133,23.096
5617,25.133,23.13
5622,25.133,23.063
5627,25.133,23.13
5632,25.167,23.096
5637,25.133,23.096
